longitude,latitude,start_date,end_date,source,horizon_lower,horizon_upper,aluminium_extractable,boron_extractable,calcium_extractable,carbon_organic,carbon_total,copper_extractable,electrical_conductivity,iron_extractable,magnesium_extractable,manganese_extractable,nitrogen_total,ph,phosphorus_extractable,potassium_extractable,sodium_extractable,sulphur_extractable,zinc_extractable,sand,silt,clay
11.06682,8.91125,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,300.837,0.013542,281.928,2.60943,,0.0426958,0.43732,55.3065,109.367,25.6413,0.200225,6.46007,3.13,68.3857,24.2449,4.21986,0.875171,59.0,23.0,18.0
11.03965,8.9766,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,738.304,0.013618,606.604,6.54665,,1.49564,0.582187,213.626,214.214,32.9278,0.338367,6.08084,6.20244,113.763,42.0849,7.75647,1.50719,45.0,26.0,22.0
8.23415,11.04882,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,573.49,0.014267,1059.93,7.02938,,0.676581,0.596749,259.647,94.1868,32.1311,0.80121,5.84154,6.53858,63.9247,52.4598,6.08178,1.19157,52.0,27.0,21.0
5.40878,9.96758,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,551.112,0.014332,574.319,8.96886,,0.792712,0.86303,132.076,195.663,74.8017,0.453844,5.95837,3.10044,74.0161,71.6913,7.42028,1.37645,67.0,19.0,14.0
5.01295,10.23278,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,385.109,0.014593,478.111,7.30039,,0.601618,0.903816,98.2904,85.6593,73.0761,0.26162,6.02385,8.73383,54.7273,26.4134,4.7605,1.49043,69.0,16.0,11.0
7.56476,11.07313,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,882.511,0.014623,321.782,3.51528,,0.888198,0.42849,184.452,90.2762,55.3219,0.352745,5.54966,2.14283,49.3748,56.4494,6.41818,1.45927,63.0,23.0,17.0
8.57814,10.84156,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,431.091,0.014952,149.552,3.14041,,1.1691,0.586599,178.857,51.0696,27.288,0.49652,5.80065,4.17093,26.1671,26.6302,6.53464,1.32452,53.0,21.0,22.0
5.34622,9.53564,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,582.648,0.015068,921.554,6.47465,,0.57031,0.6308,83.31,91.8227,46.36,0.482967,6.12982,3.85352,61.3766,31.7464,5.86357,1.03008,70.0,22.0,12.0
5.33171,9.54959,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,588.423,0.015789,643.145,5.23727,,0.53932,0.327415,114.167,106.726,55.1665,0.301059,5.70793,7.1378,55.7594,39.6516,6.56674,1.09909,66.0,21.0,15.0
7.10142,11.60649,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,424.293,0.015811,342.19,8.11175,,1.49237,0.616562,126.909,125.061,55.2261,0.456586,5.86602,3.41696,110.107,47.3476,6.72717,1.08375,51.0,23.0,19.0
9.71533,10.17564,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,678.253,0.015852,535.849,13.5368,,0.558823,0.624319,151.112,185.566,82.1764,0.95871,5.71478,13.9557,76.2764,26.8618,8.72371,1.80577,60.0,19.0,22.0
